LCSC,Manufacturer,Mpn,Description
C2932107,Samtec,FTSH-105-01-L-DV-K-P-TR,"Pin Header 2 3.05mm -55℃~+125℃ 10P 1.27mm 1.27mm 2x5P SMD,P=1.27mm Headers, Male Pins RoHS"
C3910547,Taiyo Yuden,MCHK1608T2R2MKN,1.2A 2.2uH 1.5A 292mΩ Multilayer inductor ±20% 0603 Fixed Inductors RoHS
C435392,muRata,DFE252012F-1R0M=P2,3.3A 1uH 4.7A 40mΩ ±20% 1008 Fixed Inductors RoHS
C25744,UNI-ROYAL(Uniroyal Elec),0402WGF1002TCE,-55℃~+155℃ 10kΩ 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS
C25105,UNI-ROYAL(Uniroyal Elec),0402WGF330JTCE,-55℃~+155℃ 33Ω 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS
C25900,UNI-ROYAL(Uniroyal Elec),0402WGF4701TCE,-55℃~+155℃ 4.7kΩ 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS
C25905,UNI-ROYAL(Uniroyal Elec),0402WGF5101TCE,-55℃~+155℃ 5.1kΩ 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS
C25118,UNI-ROYAL(Uniroyal Elec),0402WGF470JTCE,-55℃~+155℃ 47Ω 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS
C17168,UNI-ROYAL(Uniroyal Elec),0402WGF0000TCE,-55℃~+155℃ 0Ω 50V 62.5mW Thick Film Resistor ±1% ±800ppm/℃ 0402 Chip Resistor - Surface Mount ROHS
C25104,UNI-ROYAL(Uniroyal Elec),0402WGF3300TCE,-55℃~+155℃ 330Ω 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS
C25741,UNI-ROYAL(Uniroyal Elec),0402WGF1003TCE,-55℃~+155℃ 100kΩ 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS
C27009,UNI-ROYAL(Uniroyal Elec),0402WGF4533TCE,-55℃~+155℃ 453kΩ 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS
C25076,UNI-ROYAL(Uniroyal Elec),0402WGF1000TCE,-55℃~+155℃ 100Ω 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS
C728884,YAGEO,YC164-FR-072KL,"2kΩ 4 62.5mW 8 ±1% ±200ppm/℃ 0603x4 Resistor Networks, Arrays ROHS"
C22775,UNI-ROYAL(Uniroyal Elec),0603WAF1000T5E,-55℃~+155℃ 100mW 100Ω 75V Thick Film Resistor ±1% ±100ppm/℃ 0603 Chip Resistor - Surface Mount ROHS
C22936,UNI-ROYAL(Uniroyal Elec),0603WAF100KT5E,-55℃~+155℃ 100mW 1Ω 75V Thick Film Resistor ±1% ±400ppm/℃ 0603 Chip Resistor - Surface Mount ROHS
C25091,UNI-ROYAL(Uniroyal Elec),0402WGF2200TCE,-55℃~+155℃ 220Ω 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS
C473612,UNI-ROYAL(Uniroyal Elec),HP06W2J0000T5E,-55℃~+155℃ 0Ω 200V 500mW Thick Film Resistor ±5% 1206 Chip Resistor - Surface Mount ROHS
C5117876,G-Switch,GT-TC031A-H020-L1N,"-30℃~+85℃ 1.6N 100,000 cycles 12V 2.9mm 2mm 3.9mm 50mA Black No Round Button SMD(SMT) Tab SPST Surface Mount,Vertical Without Bracket SMD,3.9x2.9mm Tactile Switches ROHS"
C2934569,Espressif Systems,ESP32-C3-MINI-1-H4,"-40℃~+105℃ -96dBm 2.4GHz 20.5dBm 3.3V On-board PCB Antenna SPI SMD,16.6x13.2mm WiFi Modules ROHS"
C7362468,Texas Instruments,TMUXHS221NKGR,"-40℃~+125℃ 1.7pF 16us 2 2:1 3.3GHz 3V~3.6V 500ns 80ps 8Ω UQFN-10(1.4x1.8) Analog Switches, Multiplexers ROHS"
C2875445,Texas Instruments,SN3257QDYYRQ1,"-40℃~+125℃ 1.5V~5.5V 4 5Ω 95ns SPDT SOT-23-THN-16 Analog Switches, Multiplexers ROHS"
C22445521,Texas Instruments,TPS62A02PDDCR,-40℃~+125℃ 1 2.4MHz 2.5V~5.5V Buck Buck SOT-23-THIN-6 DC-DC Converters ROHS
C702185,Texas Instruments,TPS3820-50DBVR,-40℃~+85℃ 1 15uA 2.5V、3V、3.3V、5V 200ms 4.55V Active Low Push-pull Voltage Monitor Yes Yes SOT-23-5 Supervisor and Reset ICs ROHS
C1521993,Lattice,ICE40HX8K-CT256,-40℃~+100℃ 131072bit 7680 960 CABGA-256 Programmable Logic Device (CPLDs/FPGAs) ROHS
C23067542,G-Switch,GT-A2501WVD-102SBT01,"-25℃~+85℃ 1 1x2P 2 2.5mm 250V 2P 3A 7.1mm Beige Brass PA66 Through Hole Tin UL94V-0 XH Plugin,P=2.5mm Wire To Board Connector ROHS"
C304036,Walsin Tech Corp,1812B472K202CT,2kV 4.7nF X7R ±10% 1812 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C1591,Samsung Electro-Mechanics,CL10B104KB8NNNC,100nF 50V X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C487393,Ymin,VKME1651J331MV,"-55℃~+105℃ 1.58A@100kHz 10000hrs@105℃ 10mm 16.5mm 330uF 63V ±20% SMD,D10xL16.5mm Aluminum Electrolytic Capacitors - SMD ROHS"
C1591,Samsung Electro-Mechanics,CL10B104KB8NNNC,100nF 50V X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C15725,Samsung Electro-Mechanics,CL10B104KC8NNNC,100V 100nF X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C170099,Samsung Electro-Mechanics,CL32B475KBUYNNE,4.7uF 50V X7R ±10% 1210 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C1588,Samsung Electro-Mechanics,CL10B102KB8NNNC,1nF 50V X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C1589,Samsung Electro-Mechanics,CL10B103KB8NNNC,10nF 50V X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C96446,Samsung Electro-Mechanics,CL10A106MA8NRNC,10uF 25V X5R ±20% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C14860,Samsung Electro-Mechanics,CL31B106KAHNNNE,10uF 25V X7R ±10% 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C77023,Murata Electronics,GRM155R71H223KA12D,22nF 50V X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C29936,Samsung Electro-Mechanics,CL10B105KA8NNNC,1uF 25V X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C5440143,Samwha Capacitor,CS3225X7R476K160NRL,16V 47uF X7R ±10% 1210 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C6328904,KYOCERA AVX,TAJA226M016RNJ,-55℃~+125℃ 16V 2.3Ω@100kHz 22uF ±20% 1206 Tantalum Capacitors ROHS
C155422,Samsung Electro-Mechanics,CL05B104KA5NNNC,100nF 25V X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C5139656,Samsung Electro-Mechanics,CL05B472KC5VPNC,100V 4.7nF X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C1653,Samsung Electro-Mechanics,CL10C220JB8NNNC,22pF 50V C0G ±5% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
